	Phenotype	Top 5 Latent Factor Indices (ordered by variance component)	Top 1 Variance Component	Top 3 Variance Component	Top 5 Variance Component
1773	Weighted-mean L3 in tract cingulate gyrus part of cingulum (right)	46, 81, 14, 27, 11	60.99%	79.46%	86.36%
1774	avandamet 1mg/500mg tablet	23, 78, 49, 73, 27	11.87%	30.17%	41.63%
1775	timolol	23, 79, 78, 49, 16	18.00%	29.59%	37.67%
1776	zolpidem	23, 78, 49, 27, 81	13.53%	27.71%	38.06%
1777	isosorbide dinitrate	82, 30, 23, 78, 89	10.66%	23.23%	32.77%
1778	viscotears liquid eye gel	23, 79, 27, 72, 78	10.76%	22.93%	33.42%
1779	lercanidipine	23, 89, 79, 71, 49	9.53%	25.96%	35.34%
1780	diclofenac	72, 79, 94, 23, 81	12.46%	28.23%	39.71%
1781	logynon tablet	79, 72, 23, 49, 8	13.20%	25.62%	36.05%
1782	salbutamol	37, 89, 49, 83, 78	47.26%	57.70%	66.09%
1783	Mean ISOVF in fornix cres+stria terminalis on FA skeleton (left)	14, 0, 23, 82, 78	11.76%	30.86%	42.00%
1784	desmopressin	23, 78, 49, 82, 16	19.50%	35.83%	45.32%
1785	domperidone	39, 23, 38, 17, 71	7.61%	20.98%	31.50%
1786	luteine	23, 79, 77, 49, 73	11.02%	26.37%	34.81%
1787	adcal-d3 1.5g/10micrograms chewable tablet	23, 27, 78, 49, 83	11.62%	28.03%	37.96%
1788	vitamin d product	23, 78, 49, 79, 1	15.20%	30.04%	39.38%
1789	b12 - cyanocobalamin prep	77, 82, 23, 27, 78	10.92%	28.52%	39.10%
1790	norgeston tablet	23, 78, 89, 22, 49	17.05%	34.99%	44.42%
1791	gliclazide	15, 72, 79, 39, 74	81.46%	87.86%	89.64%
1792	cardioplen xl 5mg m/r tablet	23, 79, 49, 78, 59	20.28%	41.81%	50.98%
1793	omacor 1g capsule	10, 79, 23, 49, 78	9.78%	25.96%	36.75%
1794	hydroxocobalamin product	23, 77, 22, 78, 27	10.50%	22.86%	34.02%
1795	hepacon b12 1mg/1ml injection	78, 23, 49, 8, 17	14.11%	32.82%	41.99%
1796	stemetil 5mg tablet	27, 23, 82, 78, 22	8.63%	22.33%	31.99%
1797	naratriptan	23, 49, 79, 8, 78	16.06%	32.49%	43.94%
1798	marvelon tablet	23, 78, 49, 77, 30	18.27%	37.63%	43.73%
1799	liquifilm tears 1.4% eye drops	78, 8, 89, 23, 73	11.24%	25.60%	38.10%
1800	sno-tears eye drops	22, 77, 27, 23, 82	10.12%	26.34%	36.97%
1801	becotide 50 inhaler	37, 51, 70, 23, 27	56.28%	67.92%	74.43%
1802	becloforte 250micrograms inhaler	23, 78, 89, 49, 73	15.19%	33.27%	45.00%
1803	naramig 2.5mg tablet	23, 30, 0, 78, 39	12.63%	24.11%	34.68%
1804	care cetirizine hayfever relief 10mg tablet	22, 23, 77, 78, 27	9.26%	25.66%	34.68%
1805	hydrocortisone	23, 79, 78, 49, 82	14.24%	30.59%	42.31%
1806	solpadeine capsule	22, 23, 78, 59, 77	10.70%	24.97%	35.11%
1807	glucophage 500mg tablet	79, 23, 49, 8, 78	13.74%	35.14%	45.13%
1808	saw palmetto product	27, 23, 79, 89, 49	8.72%	22.75%	33.62%
1809	paramax tablet	23, 78, 49, 27, 16	18.48%	38.01%	47.35%
1810	zinc product	72, 38, 20, 23, 27	8.70%	21.76%	33.67%
1811	tetralysal 300 capsule	89, 23, 78, 82, 49	9.21%	25.71%	36.80%
1812	lymecycline	89, 82, 78, 23, 49	9.61%	26.48%	41.89%
1813	glandosane plain spray	23, 78, 49, 89, 22	17.29%	36.10%	44.57%
1814	sumatriptan	79, 72, 23, 83, 14	15.26%	36.05%	45.55%
1815	lumigan 0.3mg/ml eye drops	23, 79, 78, 49, 16	19.87%	42.72%	53.56%
1816	humira 40mg injection solution 0.8ml prefilled syringe	59, 23, 22, 78, 89	8.79%	22.53%	32.22%
1817	ibuprofen	72, 18, 39, 98, 83	13.07%	28.98%	39.57%
1818	co-amilofruse	79, 23, 8, 22, 59	11.65%	24.69%	35.87%
1819	isotard 25xl m/r tablet	23, 78, 49, 89, 81	21.08%	42.12%	51.67%
1820	oestradiol product	23, 78, 22, 30, 0	14.40%	27.40%	36.17%
1821	enalapril	23, 54, 52, 78, 49	8.73%	22.29%	34.27%
1822	beclomethasone	23, 89, 79, 78, 49	11.58%	26.26%	38.93%
1823	oxis 6micrograms turbohaler	23, 82, 77, 78, 25	11.26%	28.19%	39.05%
1824	didronel 200mg tablet	23, 77, 78, 32, 30	14.05%	30.40%	41.59%
1825	coversyl 2mg tablet	23, 77, 78, 22, 49	11.59%	22.94%	33.02%
1826	sodium thyroxine	82, 23, 89, 78, 49	9.71%	25.93%	37.07%
1827	ramipril	74, 71, 20, 10, 73	12.87%	34.34%	44.52%
1828	manevac granules	23, 30, 82, 0, 78	12.94%	26.04%	36.45%
1829	arcoxia 60mg tablet	23, 79, 49, 78, 7	20.62%	37.63%	49.32%
1830	etoricoxib	23, 39, 71, 89, 78	9.86%	25.65%	36.99%
1831	serevent 25mcg inhaler	79, 23, 8, 89, 49	15.23%	29.98%	43.14%
1832	Weighted-mean L3 in tract parahippocampal part of cingulum (left)	64, 38, 27, 80, 67	20.10%	48.24%	62.18%
1833	bendroflumethiazide	71, 52, 74, 60, 6	36.21%	64.54%	74.00%
1834	ventolin 2mg tablet	23, 78, 77, 49, 16	17.28%	34.22%	43.62%
1835	salmeterol	89, 72, 39, 38, 86	16.24%	28.61%	37.67%
1836	lipitor 10mg tablet	10, 79, 39, 23, 77	69.27%	75.91%	80.34%
1837	dutasteride	59, 79, 22, 23, 89	9.18%	24.76%	35.48%
1838	dexamethasone	23, 78, 49, 82, 30	13.52%	27.22%	37.86%
1839	valsartan	23, 1, 59, 49, 79	14.40%	27.27%	37.44%
1840	warfarin	61, 54, 89, 51, 1	56.92%	65.35%	70.15%
1841	diovan 40mg capsule	89, 78, 23, 49, 71	13.03%	36.31%	44.93%
1842	sodium bicarbonate	23, 59, 78, 22, 49	9.63%	23.01%	33.50%
1843	balsalazide disodium	23, 78, 77, 22, 49	12.79%	29.78%	38.78%
1844	deep relief ibuprofen gel	77, 71, 67, 22, 8	7.91%	21.35%	31.29%
1845	oestrogel 0.06% gel	82, 59, 23, 89, 67	7.85%	20.38%	30.79%
1846	nicotine product	23, 78, 30, 49, 22	12.78%	23.58%	32.86%
1847	depakote 250mg e/c tablet	23, 79, 78, 49, 82	16.93%	33.75%	46.97%
1848	asacol 400mg e/c tablet	23, 79, 89, 94, 78	11.08%	22.02%	31.82%
1849	fentanyl	23, 59, 22, 78, 49	8.16%	22.47%	33.70%
1850	pentasa sr 250mg m/r tablet	79, 23, 49, 1, 78	13.00%	32.57%	42.14%
1851	ovestin 0.1% vaginal cream	23, 79, 49, 78, 11	10.80%	23.05%	32.17%
1852	amantadine	59, 67, 82, 23, 30	6.64%	17.41%	27.61%
1853	betamethasone	23, 89, 49, 78, 39	13.15%	29.82%	40.03%
1854	prednisolone product	23, 78, 49, 77, 11	17.62%	33.13%	41.30%
1855	adizem-xl plus m/r capsule	23, 49, 22, 16, 71	11.42%	22.86%	32.27%
1856	piroxicam	23, 78, 49, 77, 27	17.35%	31.31%	40.26%
1857	naproxen	23, 79, 78, 16, 81	15.08%	28.97%	37.97%
1858	ketoprofen	23, 59, 78, 22, 67	9.25%	22.87%	33.46%
1859	syndol tablet	23, 79, 49, 78, 7	22.38%	38.37%	49.57%
1860	metformin	15, 54, 72, 73, 3	96.44%	97.07%	97.44%
1861	colofac-100 tablet	23, 82, 27, 89, 78	10.09%	25.22%	34.74%
1862	asacol mr 400mg e/c tablet	23, 78, 89, 73, 49	10.90%	28.55%	37.73%
1863	half-inderal la 80mg m/r capsule	23, 78, 89, 49, 73	10.85%	28.04%	38.33%
1864	micardis 20mg tablet	23, 78, 77, 22, 49	11.04%	25.61%	37.06%
1865	amitriptyline hydrochloride+perphenazine 10mg/2mg tablet	82, 89, 23, 67, 32	7.56%	19.08%	29.08%
1866	sodium cromoglycate	23, 78, 49, 16, 79	21.33%	44.78%	51.90%
1867	cefalexin	23, 79, 82, 49, 78	11.92%	26.55%	37.58%
1868	Haematocrit percentage	55, 91, 27, 96, 40	95.53%	98.26%	98.56%
1869	xalatan 0.005% eye drops	6, 23, 71, 78, 49	25.60%	44.97%	53.22%
1870	Mean FA in body of corpus callosum on FA skeleton	81, 46, 72, 18, 75	41.79%	68.27%	73.78%
1871	Age at death	23, 79, 49, 27, 78	28.26%	40.96%	50.19%
1872	dovonex 50micrograms/g cream	72, 23, 79, 49, 82	8.33%	21.24%	30.12%
1873	Cancer year/age first occurred	72, 23, 86, 20, 39	14.25%	26.18%	35.07%
1874	Water intake	62, 98, 71, 22, 32	96.79%	97.58%	98.04%
1875	Weighted-mean OD in tract cingulate gyrus part of cingulum (left)	73, 82, 27, 74, 30	7.93%	22.37%	31.83%
1876	Weighted-mean OD in tract anterior thalamic radiation (right)	97, 0, 46, 64, 48	26.36%	42.56%	53.94%
1877	Weighted-mean OD in tract parahippocampal part of cingulum (left)	89, 18, 45, 23, 75	12.41%	26.16%	35.44%
1878	rosiglitazone 1mg/metformin 500mg tablet	23, 78, 49, 7, 85	16.95%	37.25%	43.79%
1879	nebivolol	79, 23, 49, 86, 1	15.04%	31.08%	41.91%
1880	Weighted-mean OD in tract forceps major	27, 79, 49, 23, 8	9.32%	21.77%	32.71%
1881	clopidogrel	45, 10, 8, 64, 23	8.69%	22.90%	31.95%
1882	adizem-60 m/r tablet	23, 78, 0, 49, 67	16.07%	34.18%	43.14%
1883	loratadine product	82, 30, 67, 89, 24	7.65%	19.76%	30.10%
1884	telmisartan	23, 78, 89, 79, 49	11.70%	27.57%	38.04%
1885	baclofen	23, 89, 78, 67, 39	11.04%	27.27%	38.13%
1886	elleste-solo 1mg tablet	89, 77, 23, 79, 82	12.74%	28.43%	41.65%
1887	docusate sodium	23, 79, 81, 77, 1	12.02%	24.61%	34.46%
1888	ranitidine	72, 39, 83, 73, 89	21.43%	34.56%	43.52%
1889	nefopam	67, 59, 78, 23, 8	7.54%	19.11%	27.58%
1890	Weighted-mean L2 in tract posterior thalamic radiation (right)	57, 14, 97, 81, 59	35.42%	59.18%	72.27%
1891	metronidazole	23, 78, 49, 30, 16	18.71%	34.68%	43.48%
1892	Weighted-mean L2 in tract posterior thalamic radiation (left)	57, 14, 64, 59, 97	38.06%	57.28%	72.03%
1893	asasantin retard m/r capsule	23, 78, 49, 22, 77	17.37%	33.95%	41.65%
1894	bendroflumethiazide+potassium 2.5mg/7.7mmol m/r tablet	23, 82, 89, 78, 49	10.89%	25.83%	38.09%
1895	Weighted-mean L2 in tract inferior longitudinal fasciculus (right)	57, 81, 14, 46, 97	78.09%	92.35%	96.71%
1896	Weighted-mean L2 in tract acoustic radiation (left)	51, 64, 14, 46, 57	42.63%	61.99%	73.27%
1897	multivitamins	23, 89, 78, 1, 72	16.07%	27.64%	37.74%
1898	Weighted-mean L1 in tract superior longitudinal fasciculus (left)	97, 0, 46, 81, 57	35.34%	61.22%	75.97%
1899	flomax mr 400micrograms m/r capsule	23, 78, 89, 49, 8	14.50%	35.47%	44.78%
1900	gamolenic acid	23, 82, 30, 77, 27	8.53%	24.22%	35.24%
1901	epilim 100mg crushable tablet	23, 79, 49, 72, 78	11.24%	29.69%	40.01%
1902	fexofenadine	73, 27, 23, 1, 20	8.41%	22.41%	35.12%
1903	trospium	23, 89, 78, 82, 49	12.38%	33.05%	43.06%
1904	rosiglitazone	23, 15, 79, 78, 7	10.22%	25.18%	33.99%
1905	depo-provera 50mg/1ml injection	27, 67, 23, 64, 89	13.93%	31.44%	44.93%
1906	carbomers	23, 59, 22, 71, 78	7.72%	20.78%	30.96%
1907	movicol oral powder	23, 39, 72, 78, 89	9.16%	23.96%	37.41%
1908	mirena 52mg intrauterine system	89, 82, 79, 77, 23	11.03%	29.17%	42.83%
1909	pyridoxine preparation	59, 22, 23, 67, 78	8.60%	23.20%	33.26%
1910	zoton 15mg capsule	23, 78, 64, 27, 72	11.68%	24.58%	34.60%
1911	thiamine preparation	23, 89, 78, 39, 49	11.40%	26.69%	36.91%
1912	Mean ISOVF in posterior limb of internal capsule on FA skeleton (left)	14, 23, 89, 49, 79	17.15%	33.26%	41.45%
1913	Weighted-mean OD in tract middle cerebellar peduncle	23, 72, 22, 86, 89	6.30%	18.26%	29.57%
1914	nabumetone	78, 23, 27, 73, 49	9.70%	25.86%	38.32%
1915	perindopril	64, 79, 52, 23, 72	8.44%	22.97%	32.99%
1916	cardicor 1.25mg tablet	89, 23, 78, 39, 67	22.36%	34.86%	44.50%
1917	co-dydramol	23, 27, 78, 72, 39	10.83%	23.31%	33.61%
1918	beclomethasone dipropionate+salbutamol	82, 89, 30, 23, 67	9.01%	21.16%	30.50%
1919	zirtek 10mg tablet	77, 78, 23, 71, 82	8.13%	21.43%	32.34%
1920	clarityn 10mg tablet	79, 23, 49, 78, 54	14.43%	38.67%	49.57%
1921	cerazette 75micrograms tablet	23, 79, 27, 49, 89	16.03%	27.91%	36.34%
1922	sulfasalazine	23, 78, 49, 71, 79	16.17%	33.11%	44.21%
1923	trimovate ointment	23, 79, 49, 1, 78	12.19%	27.62%	36.80%
1924	fenofibrate	10, 23, 89, 72, 78	51.93%	61.28%	67.33%
1925	iron product	23, 89, 82, 27, 67	11.22%	26.68%	38.55%
1926	furosemide	89, 83, 68, 23, 78	6.62%	18.05%	27.71%
1927	multivitamins capsule	23, 49, 78, 79, 81	18.44%	40.61%	49.68%
1928	propranolol	23, 72, 71, 39, 78	7.76%	21.30%	32.88%
1929	dermol 500 lotion	23, 79, 49, 78, 81	17.89%	39.09%	51.15%
1930	pregabalin	79, 49, 23, 77, 27	9.29%	23.94%	36.40%
1931	Mean ISOVF in splenium of corpus callosum on FA skeleton	97, 14, 23, 57, 8	26.81%	45.46%	53.98%
1932	paracetamol	20, 11, 51, 86, 35	18.93%	35.96%	46.04%
1933	dovonex 50micrograms/g ointment	82, 77, 89, 25, 23	14.50%	30.39%	42.01%
1934	tibolone	27, 23, 49, 78, 73	8.81%	23.36%	34.42%
1935	polytar liquid	22, 23, 77, 78, 59	11.10%	27.45%	36.83%
1936	fybogel orange s/f granules	23, 71, 79, 78, 1	11.04%	26.06%	37.00%
1937	chlorphenamine	23, 78, 79, 72, 49	9.85%	21.57%	31.28%
1938	nasonex 0.05% aqueous nasal spray	23, 72, 79, 27, 20	10.05%	24.09%	35.03%
1939	citalopram	72, 23, 1, 78, 80	9.09%	22.81%	32.29%
1940	evening primrose oil	83, 23, 78, 72, 49	11.51%	24.46%	35.46%
1941	doublebase gel	23, 78, 82, 73, 49	13.06%	27.83%	39.63%
1942	amitriptyline	72, 39, 89, 86, 78	16.91%	33.31%	43.49%
1943	Weighted-mean OD in tract forceps minor	64, 27, 89, 73, 48	10.17%	27.49%	42.05%
1944	carvedilol	23, 79, 49, 78, 67	13.78%	26.94%	34.99%
1945	aprovel 75mg tablet	23, 79, 49, 8, 78	10.11%	24.15%	33.73%
1946	voltarol 25mg e/c tablet	23, 49, 78, 59, 39	10.79%	23.38%	33.63%
1947	glucosamine product	72, 8, 98, 92, 39	21.18%	34.62%	44.00%
1948	selenium ace tablet	23, 79, 89, 71, 27	12.81%	27.85%	37.87%
1949	starflower oil	23, 39, 78, 89, 73	12.50%	29.13%	42.35%
1950	fucibet cream	23, 49, 79, 78, 16	18.26%	39.53%	49.48%
1951	mefenamic acid	23, 78, 49, 71, 81	15.92%	35.26%	47.39%
1952	mucodyne 375mg capsule	23, 89, 78, 73, 27	9.22%	24.79%	37.36%
1953	olmesartan	23, 71, 78, 39, 81	9.74%	23.49%	32.75%
1954	escitalopram	23, 78, 71, 39, 99	11.29%	23.99%	35.33%
1955	detrusitol 1mg tablet	79, 72, 23, 14, 67	11.72%	28.49%	37.44%
1956	Volume of caudate (left)	48, 23, 92, 99, 20	69.99%	75.62%	78.49%
1957	tramacet 325mg/37.5mg tablet	23, 78, 77, 11, 81	12.37%	28.31%	36.44%
1958	hypromellose	23, 27, 78, 73, 71	9.12%	25.35%	36.45%
1959	trazodone	79, 49, 23, 71, 78	9.98%	25.70%	38.71%
1960	erythromycin	23, 22, 79, 71, 77	9.13%	22.48%	31.97%
1961	solpadol capsule	23, 8, 49, 79, 72	15.33%	30.45%	41.35%
1962	meloxicam	23, 49, 78, 89, 81	14.29%	29.57%	40.41%
1963	pariet 10mg e/c tablet	23, 79, 49, 8, 1	10.39%	26.34%	37.93%
1964	tenofovir	23, 78, 49, 67, 42	15.54%	33.19%	40.20%
1965	colpermin 0.2ml m/r gel e/c capsule	79, 73, 8, 23, 67	9.67%	26.76%	37.35%
1966	peppermint oil product	23, 82, 49, 79, 77	13.25%	30.69%	41.90%
1967	micronor tablet	82, 89, 8, 1, 45	8.67%	25.02%	34.92%
1968	xalacom 0.005%/0.5% eye drops	23, 78, 89, 49, 16	16.50%	32.94%	43.68%
1969	trimethoprim	23, 71, 39, 78, 72	12.78%	29.13%	38.57%
1970	zydol 50mg capsule	23, 49, 78, 79, 41	21.30%	46.50%	57.67%
1971	microgynon 30 tablet	23, 79, 73, 49, 78	14.59%	25.46%	35.05%
1972	metronidazole product	23, 78, 49, 41, 79	20.99%	39.53%	47.85%
1973	frusemide	23, 49, 79, 64, 89	10.63%	26.34%	36.68%
1974	Volume of grey matter in Precuneous Cortex (right)	48, 94, 23, 77, 89	89.82%	91.26%	92.38%
1975	zanidip 10mg tablet	78, 23, 89, 8, 17	9.62%	26.17%	35.23%
1976	zoladex 3.6mg implant	23, 79, 30, 49, 73	13.78%	25.04%	34.23%
1977	bromelains	23, 78, 49, 79, 50	19.96%	41.88%	50.71%
1978	cilest tablet	23, 82, 89, 8, 72	10.10%	23.69%	35.46%
1979	sodium cromoglicate	23, 78, 39, 49, 71	15.23%	29.89%	40.84%
1980	kapake tablet	23, 22, 78, 59, 77	9.10%	25.06%	36.82%
1981	penicillin v	89, 23, 78, 82, 49	11.53%	29.45%	42.63%
1982	atrovent 20micrograms inhaler	89, 23, 78, 49, 0	12.29%	31.30%	44.45%
1983	colchicine	59, 23, 78, 82, 89	20.67%	37.12%	49.12%
1984	Android total mass	17, 94, 27, 71, 78	88.89%	97.93%	98.42%
1985	qvar 50 inhaler	37, 89, 23, 79, 78	8.96%	23.71%	32.00%
1986	ursodeoxycholic acid	78, 23, 11, 49, 77	10.76%	27.19%	38.05%
1987	celebrex 200mg capsule	23, 78, 49, 16, 7	21.57%	39.62%	46.91%
1988	travoprost	23, 78, 89, 49, 27	19.01%	36.62%	46.65%
1989	magnesium carbonate	23, 78, 49, 22, 79	14.32%	31.83%	40.44%
1990	salazopyrin 500mg tablet	23, 27, 78, 0, 39	10.50%	22.73%	32.64%
1991	creon e/c granules in capsule	72, 8, 23, 79, 49	13.09%	29.25%	40.09%
1992	zopiclone	89, 23, 78, 27, 72	9.63%	23.55%	33.97%
1993	nedocromil	67, 59, 23, 24, 78	7.34%	18.23%	26.99%
1994	Mean ICVF in corticospinal tract on FA skeleton (right)	46, 27, 38, 23, 59	13.62%	32.40%	42.69%
1995	daktacort cream	23, 49, 78, 79, 39	14.08%	31.29%	40.23%
1996	co-careldopa	23, 78, 82, 49, 89	9.67%	23.61%	34.93%
1997	epaderm ointment	8, 23, 72, 38, 79	10.11%	26.91%	39.13%
1998	voltarol emulgel	23, 79, 49, 1, 78	11.85%	26.88%	36.27%
1999	betnovate cream	71, 23, 37, 89, 78	8.76%	24.32%	34.95%
2000	mirtazapine	23, 79, 89, 49, 78	12.24%	29.48%	43.14%
2001	liothyronine	23, 59, 82, 78, 67	8.77%	21.46%	31.81%
2002	premique cycle 10mg tablet	23, 78, 49, 89, 22	15.28%	33.88%	41.74%
2003	premique 0.625mg/5mg tablet	89, 82, 77, 25, 8	16.21%	29.46%	37.22%
2004	ascorbic acid product	77, 23, 82, 78, 71	9.25%	27.13%	36.84%
2005	kliofem tablet	23, 78, 49, 1, 89	13.96%	30.90%	41.55%
2006	norethisterone	23, 49, 78, 79, 36	22.23%	41.41%	51.46%
2007	Pravastatin	20, 73, 72, 23, 98	33.53%	42.07%	49.67%
2008	Simvastatin	10, 89, 83, 20, 18	42.63%	54.07%	60.79%
2009	phenytoin	23, 78, 49, 79, 89	15.58%	35.63%	46.69%
2010	alfacalcidol	23, 89, 78, 0, 49	10.87%	30.61%	39.70%
2011	implanon 68mg subdermal implant	23, 78, 89, 22, 77	15.83%	33.89%	43.44%
2012	femara 2.5mg tablet	59, 22, 67, 23, 78	9.51%	22.62%	31.08%
2013	Statin	10, 72, 83, 54, 27	94.28%	96.24%	97.21%
2014	Atorvastatin	10, 86, 51, 38, 39	29.98%	41.04%	47.90%
2015	Fluvastatin	23, 49, 78, 79, 22	14.50%	26.75%	36.97%
2016	Rosuvastatin	72, 20, 92, 10, 32	17.07%	35.72%	50.35%
2017	NHS	58, 23, 78, 39, 49	11.00%	28.05%	40.72%
2018	Doctor diagnosed COPD (chronic obstructive pulmonary disease)	72, 23, 79, 38, 67	14.79%	29.17%	38.32%
2019	Doctor diagnosed sarcoidosis	23, 39, 78, 71, 0	14.79%	30.62%	43.01%
2020	Doctor diagnosed bronchiectasis	23, 89, 79, 71, 49	16.14%	32.57%	41.26%
2021	Doctor diagnosed tuberculosis	89, 23, 78, 39, 71	14.85%	32.25%	43.33%
2022	Bring up phlegm/sputum/mucus on most days	23, 49, 79, 78, 3	15.76%	34.54%	43.70%
2023	Cough on most days	73, 78, 27, 23, 1	9.49%	21.59%	32.34%
2024	Hearing aid user	23, 72, 78, 89, 39	13.72%	31.10%	41.43%
2025	Back pain for 3+ months	27, 49, 23, 79, 78	14.02%	25.87%	33.41%
2026	Diabetes diagnosed by doctor	15, 73, 72, 39, 27	97.17%	97.92%	98.23%
2027	Neck/shoulder pain for 3+ months	72, 73, 82, 27, 1	8.89%	22.90%	32.12%
2028	Stomach/abdominal pain for 3+ months	27, 23, 79, 67, 13	15.88%	28.99%	35.90%
2029	Ever used hormone-replacement therapy (HRT)	13, 20, 73, 64, 92	37.04%	58.78%	64.86%
2030	Ever had hysterectomy (womb removed)	78, 39, 80, 23, 27	8.54%	22.18%	32.85%
2031	Headaches for 3+ months	72, 89, 86, 23, 94	10.86%	28.72%	39.00%
2032	Long-standing illness, disability or infirmity	83, 54, 92, 11, 52	24.77%	38.67%	48.05%
2033	Ever had stillbirth, spontaneous miscarriage or termination	23, 49, 78, 27, 72	15.60%	30.33%	41.53%
2034	Fractured/broken bones in last 5 years	92, 79, 72, 39, 20	14.03%	33.32%	46.13%
2035	Doctor diagnosed lung cancer (not mesothelioma)	23, 78, 89, 59, 49	9.31%	23.41%	35.39%
2036	Doctor diagnosed hayfever or allergic rhinitis	37, 51, 20, 70, 79	49.96%	79.68%	84.72%
2037	Doctor diagnosed asthma	37, 51, 70, 20, 92	89.62%	95.18%	96.19%
2038	Doctor diagnosed emphysema	68, 79, 22, 1, 23	7.13%	20.27%	31.96%
2039	Doctor diagnosed chronic bronchitis	23, 79, 49, 80, 71	14.28%	30.90%	40.27%
2040	Knee pain for 3+ months	27, 23, 83, 45, 72	10.34%	24.54%	33.86%
2041	Hearing difficulty/problems with background noise	27, 51, 45, 64, 54	14.72%	34.90%	50.30%
2042	Hip pain for 3+ months	89, 79, 23, 86, 49	10.90%	28.40%	38.75%
2043	Gestational diabetes only	78, 23, 39, 49, 71	10.02%	29.43%	40.09%
2044	Facial pains for 3+ months	23, 78, 49, 79, 81	14.01%	30.84%	39.90%
2045	Cancer diagnosed by doctor	18, 75, 20, 1, 2	29.82%	62.39%	68.94%
2046	Other serious medical condition/disability diagnosed by doctor	68, 38, 77, 58, 98	6.71%	19.59%	30.90%
2047	Cochlear implant	23, 78, 49, 16, 22	20.04%	41.26%	48.05%
2048	Suffer from 'nerves'	90, 20, 51, 11, 72	47.36%	61.59%	69.39%
2049	Irritability	54, 11, 90, 80, 35	25.61%	55.91%	73.74%
2050	Ever unenthusiastic/disinterested for a whole week	11, 77, 48, 64, 82	9.19%	20.97%	30.71%
2051	Guilty feelings	51, 90, 11, 80, 89	45.48%	72.48%	79.27%
2052	Surgery on leg arteries (other than for varicose veins)	23, 78, 49, 79, 63	15.07%	30.36%	39.46%
2053	Mood swings	11, 90, 54, 38, 51	68.60%	88.45%	91.47%
2054	Ever highly irritable/argumentative for 2 days	11, 77, 90, 55, 23	8.96%	23.74%	32.21%
2055	Fed-up feelings	11, 90, 51, 92, 27	80.73%	92.37%	94.44%
2056	Ever had surgery for glaucoma or high eye pressure	23, 78, 49, 22, 7	19.62%	36.29%	43.70%
2057	Ever had laser treatment for glaucoma or high eye pressure	23, 89, 78, 49, 7	13.49%	27.01%	35.62%
2058	Ever had cataract surgery	23, 64, 79, 49, 86	10.58%	27.32%	36.26%
2059	Ever had refractive laser eye surgery	23, 78, 49, 27, 41	10.77%	28.02%	36.84%
2060	Ever had corneal graft surgery	23, 78, 8, 49, 30	19.06%	34.37%	43.60%
2061	Ever manic/hyper for 2 days	23, 38, 72, 20, 27	9.07%	24.56%	32.69%
2062	Risk taking	13, 0, 59, 1, 64	16.56%	40.15%	57.40%
2063	Leg pain when walking uphill or hurrying	23, 27, 94, 38, 49	9.20%	23.70%	32.96%
2064	Leg pain on walking	51, 11, 48, 24, 98	17.21%	28.40%	36.49%
2065	Chest pain or discomfort walking normally	75, 89, 20, 78, 23	8.48%	20.49%	29.40%
2066	Leg pain when walking ever disappears while walking	23, 79, 78, 49, 85	21.51%	37.08%	46.91%
2067	Wears glasses or contact lenses	23, 72, 78, 82, 39	10.30%	26.18%	34.06%
2068	Leg pain in calf/calves	51, 23, 49, 79, 78	6.74%	19.59%	30.04%
2069	Loneliness, isolation	11, 90, 51, 71, 86	30.51%	54.88%	62.29%
2070	Sensitivity/hurt feelings	90, 11, 13, 92, 39	46.17%	61.12%	67.99%
2071	Seen a psychiatrist for nerves, anxiety, tension or depression	90, 51, 64, 11, 20	12.22%	31.63%	45.47%
2072	Tense/'highly strung'	90, 72, 27, 73, 8	59.16%	66.15%	71.81%
2073	Leg pain when standing still or sitting	23, 72, 89, 38, 7	13.39%	27.46%	37.38%
2074	Worry too long after embarrassment	90, 51, 18, 73, 77	54.54%	67.51%	74.78%
2075	Miserableness	11, 90, 27, 80, 64	61.99%	83.21%	87.83%
2076	Nervous feelings	90, 64, 11, 39, 80	67.82%	79.22%	83.70%
2077	Leg pain when walking normally	23, 27, 73, 20, 79	10.17%	24.23%	31.94%
2078	Ever depressed for a whole week	38, 77, 82, 3, 8	7.19%	20.21%	29.39%
2079	Had major operations	18, 94, 86, 8, 89	10.66%	24.83%	37.60%
2080	Ever had eye surgery	79, 72, 92, 27, 86	7.06%	17.77%	26.88%
2081	Worrier/anxious feelings	90, 73, 11, 38, 18	82.15%	91.84%	93.70%
2082	Seen doctor (GP) for nerves, anxiety, tension or depression	11, 92, 38, 89, 64	37.49%	49.40%	58.97%
2083	Chest pain due to walking ceases when standing still	27, 89, 67, 73, 23	10.83%	29.72%	40.15%
2084	Attempted suicide vs all	23, 0, 1, 49, 78	13.89%	27.27%	38.79%
2085	Average 24-hour sound level of noise pollution	47, 23, 78, 49, 77	99.66%	99.75%	99.78%
2086	Particulate matter air pollution (pm2.5); 2010	88, 51, 27, 34, 0	94.23%	96.78%	97.70%
2087	Whole body fat mass	23, 49, 33, 50, 30	47.02%	89.40%	95.86%
2088	Sum of road length of major roads within 100m	47, 64, 38, 39, 59	19.18%	30.65%	40.07%
2089	Nitrogen dioxide air pollution; 2005	34, 88, 23, 49, 78	99.42%	99.86%	99.89%
2090	Inverse distance to the nearest road	47, 23, 73, 89, 72	52.46%	59.83%	65.28%
